# MASTERLIJST 045 — Londen
# Laatste update: 11/08/2026
# Criteria: ROE>7% | Debt<130 | Marge>4% | Vol 18%-65% | Omzet>€150,000
# Kolommen: ticker | opname | ROE | Debt | Marge | Vol | Omzet | status [| weken_buiten] [| verwijderd]
# --------------------------------------------------------------------------------
ZTF.L            | opname:2026-08-11 | ROE:19.0% | Debt:44.9 | Marge:13.9% | Vol:40.9% | Omzet:55,853,113 | actief
BPT.L            | opname:2026-07-06 | ROE:3.4% | Debt:53.4 | Marge:3.7% | Vol:39.2% | Omzet:493,919,834 | zwakker | weken_buiten:1
BTRW.L           | opname:2026-08-09 | ROE:2.8% | Debt:3.2 | Marge:3.6% | Vol:31.5% | Omzet:2,127,301,515 | zwakker | weken_buiten:1
CNE.L            | opname:2026-05-08 | ROE:4.6% | Debt:12.3 | Marge:14.1% | Vol:48.9% | Omzet:38,754,513 | zwakker | weken_buiten:1
COST.L           | opname:2026-05-08 | ROE:15.1% | Debt:9.7 | Marge:3.6% | Vol:37.5% | Omzet:213,774,989 | zwakker | weken_buiten:1
CRDA.L           | opname:2026-08-02 | ROE:3.7% | Debt:35.8 | Marge:4.6% | Vol:30.4% | Omzet:1,631,151,063 | zwakker | weken_buiten:1
ECOR.L           | opname:2026-05-08 | ROE:4.9% | Debt:20.7 | Marge:39.7% | Vol:35.6% | Omzet:72,022,223 | zwakker | weken_buiten:1
EZJ.L            | opname:2026-05-08 | ROE:13.1% | Debt:82.4 | Marge:3.9% | Vol:41.1% | Omzet:2,777,824,256 | zwakker | weken_buiten:1
FDM.L            | opname:2026-08-02 | ROE:4.5% | Debt:37.5 | Marge:1.6% | Vol:41.9% | Omzet:48,489,367 | zwakker | weken_buiten:2
FOUR.L           | opname:2026-05-04 | ROE:70.1% | Debt:179.8 | Marge:7.5% | Vol:36.9% | Omzet:300,088,245 | zwakker | weken_buiten:2
FSTA.L           | opname:2026-06-21 | ROE:5.2% | Debt:51.0 | Marge:5.3% | Vol:30.5% | Omzet:23,384,394 | zwakker | weken_buiten:1
GMS.L            | opname:2026-05-08 | ROE:4.8% | Debt:50.8 | Marge:10.0% | Vol:43.1% | Omzet:53,264,442 | zwakker | weken_buiten:1
HBR.L            | opname:2026-08-09 | ROE:6.5% | Debt:115.5 | Marge:2.9% | Vol:40.5% | Omzet:1,394,728,816 | zwakker | weken_buiten:1
JD.L             | opname:2026-05-08 | ROE:13.7% | Debt:107.0 | Marge:3.4% | Vol:36.6% | Omzet:1,375,739,961 | zwakker | weken_buiten:1
MACF.L           | opname:2026-08-02 | ROE:5.2% | Debt:74.1 | Marge:2.1% | Vol:36.7% | Omzet:26,743,762 | zwakker | weken_buiten:1
OTB.L            | opname:2026-08-09 | ROE:12.8% | Debt:23.9 | Marge:3.0% | Vol:48.4% | Omzet:152,708,039 | zwakker | weken_buiten:1
PINE.L           | opname:2026-05-04 | ROE:41.4% | Debt:73.5 | Marge:124.2% | Vol:65.2% | Omzet:162,705,280 | zwakker | weken_buiten:1
PZC.L            | opname:2026-08-09 | ROE:12.5% | Debt:37.1 | Marge:3.7% | Vol:41.4% | Omzet:80,634,938 | zwakker | weken_buiten:1
RHIM.L           | opname:2026-08-02 | ROE:9.9% | Debt:156.4 | Marge:3.4% | Vol:42.7% | Omzet:59,464,788 | zwakker | weken_buiten:2
ROR.L            | opname:2026-05-04 | ROE:21.8% | Debt:8.0 | Marge:15.7% | Vol:70.8% | Omzet:1,070,796,815 | zwakker | weken_buiten:1
TATE.L           | opname:2026-05-24 | ROE:6.2% | Debt:81.0 | Marge:4.8% | Vol:55.3% | Omzet:1,066,370,151 | zwakker | weken_buiten:1
AAIF.L           | opname:2026-05-08 | ROE:18.8% | Debt:7.7 | Marge:92.2% | Vol:21.1% | Omzet:98,323,977 | verwijderd | verwijderd:2026-07-19
BREE.L           | opname:2026-05-08 | ROE:6.9% | Debt:62.4 | Marge:4.7% | Vol:29.8% | Omzet:417,270,352 | verwijderd | verwijderd:2026-07-19
CCH.L            | opname:2026-05-04 | ROE:26.0% | Debt:147.1 | Marge:8.1% | Vol:22.8% | Omzet:2,498,991,345 | verwijderd | verwijderd:2026-07-19
COA.L            | opname:2026-05-08 | ROE:22.3% | Debt:143.7 | Marge:6.6% | Vol:27.9% | Omzet:291,712,043 | verwijderd | verwijderd:2026-05-17
CWK.L            | opname:2026-05-08 | ROE:15.2% | Debt:23.3 | Marge:5.3% | Vol:17.7% | Omzet:631,370,657 | verwijderd | verwijderd:2026-05-17
FOXT.L           | opname:2026-05-08 | ROE:5.8% | Debt:46.8 | Marge:4.9% | Vol:28.3% | Omzet:24,374,421 | verwijderd | verwijderd:2026-07-19
GRI.L            | opname:2026-05-04 | ROE:6.7% | Debt:83.7 | Marge:54.8% | Vol:24.0% | Omzet:486,622,741 | verwijderd | verwijderd:2026-05-17
IPF.L            | opname:2026-05-08 | ROE:9.1% | Debt:130.3 | Marge:6.0% | Vol:18.7% | Omzet:404,876,093 | verwijderd | verwijderd:2026-07-19
ITRK.L           | opname:2026-05-08 | ROE:29.9% | Debt:172.7 | Marge:9.1% | Vol:32.3% | Omzet:4,279,359,656 | verwijderd | verwijderd:2026-08-11
LIO.L            | opname:2026-05-08 | ROE:7.8% | Debt:181.8 | Marge:7.1% | Vol:36.3% | Omzet:98,138,226 | verwijderd | verwijderd:2026-07-05
MGNS.L           | opname:2026-05-08 | ROE:26.1% | Debt:18.3 | Marge:3.6% | Vol:29.3% | Omzet:541,323,412 | verwijderd | verwijderd:2026-05-17
MRO.L            | opname:2026-05-04 | ROE:5.6% | Debt:71.8 | Marge:4.3% | Vol:34.2% | Omzet:2,320,297,323 | verwijderd | verwijderd:2026-07-19
PAG.L            | opname:2026-05-08 | ROE:12.0% | Debt:166.7 | Marge:35.1% | Vol:23.6% | Omzet:364,725,793 | verwijderd | verwijderd:2026-06-21
PCTN.L           | opname:2026-05-08 | ROE:4.9% | Debt:38.9 | Marge:50.6% | Vol:19.7% | Omzet:102,167,991 | verwijderd | verwijderd:2026-06-28
PETS.L           | opname:2026-05-08 | ROE:6.4% | Debt:40.8 | Marge:4.3% | Vol:29.0% | Omzet:202,015,051 | verwijderd | verwijderd:2026-06-07
PSH.L            | opname:2026-05-04 | ROE:18.0% | Debt:24.4 | Marge:72.7% | Vol:24.7% | Omzet:678,468,315 | verwijderd | verwijderd:2026-07-19
PSON.L           | opname:2026-05-08 | ROE:9.2% | Debt:52.4 | Marge:8.8% | Vol:25.0% | Omzet:2,193,315,541 | verwijderd | verwijderd:2026-07-19
REC.L            | opname:2026-05-04 | ROE:24.7% | Debt:23.8 | Marge:19.1% | Vol:31.8% | Omzet:11,329,852 | verwijderd | verwijderd:2026-07-19
RKT.L            | opname:2026-05-08 | ROE:48.0% | Debt:179.7 | Marge:21.1% | Vol:21.7% | Omzet:10,105,766,889 | verwijderd | verwijderd:2026-07-19
SGRO.L           | opname:2026-06-29 | ROE:2.5% | Debt:43.7 | Marge:40.0% | Vol:31.2% | Omzet:2,850,304,454 | verwijderd | verwijderd:2026-08-11
