# MASTERLIJST 057 — NYSE
# Laatste update: 30/08/2026
# Nitro Criteria: ROE>4% | Debt<140 | Marge>3% | Vol 35%-95% | Omzet>€2,500,000
# Kolommen: ticker | opname | ROE | Debt | Marge | Vol | Omzet | status [| weken_buiten] [| verwijderd]
# --------------------------------------------------------------------------------
WHD              | opname:2026-08-16 | ROE:13.1% | Debt:3.3 | Marge:12.0% | Vol:44.6% | Omzet:42,333,154 | actief
WLY              | opname:2026-08-16 | ROE:27.7% | Debt:90.7 | Marge:13.2% | Vol:36.5% | Omzet:19,254,855 | actief
WPM              | opname:2026-08-16 | ROE:23.5% | Debt:20.4 | Marge:64.7% | Vol:49.9% | Omzet:277,557,181 | actief
XZO              | opname:2026-08-22 | ROE:50.4% | Debt:2.3 | Marge:37.7% | Vol:64.8% | Omzet:3,851,926 | actief
A                | opname:2026-08-22 | ROE:21.3% | Debt:49.7 | Marge:19.6% | Vol:32.9% | Omzet:273,676,265 | zwakker | weken_buiten:1
AA               | opname:2026-08-22 | ROE:18.2% | Debt:29.9 | Marge:9.4% | Vol:55.7% | Omzet:328,591,589 | zwakker | weken_buiten:1
ABT              | opname:2026-08-22 | ROE:10.6% | Debt:63.2 | Marge:11.6% | Vol:26.6% | Omzet:1,029,585,258 | zwakker | weken_buiten:1
ACA              | opname:2026-08-22 | ROE:8.0% | Debt:50.6 | Marge:16.8% | Vol:32.9% | Omzet:47,183,388 | zwakker | weken_buiten:1
AD               | opname:2026-08-22 | ROE:22.7% | Debt:94.2 | Marge:250.8% | Vol:29.5% | Omzet:9,411,186 | zwakker | weken_buiten:1
AGI              | opname:2026-08-22 | ROE:27.4% | Debt:4.5 | Marge:52.6% | Vol:55.6% | Omzet:144,698,542 | zwakker | weken_buiten:1
AIT              | opname:2026-08-22 | ROE:22.4% | Debt:26.0 | Marge:8.3% | Vol:26.0% | Omzet:81,960,996 | zwakker | weken_buiten:2
AIZ              | opname:2026-08-22 | ROE:18.3% | Debt:36.2 | Marge:7.9% | Vol:22.3% | Omzet:88,318,065 | zwakker | weken_buiten:2
ALL              | opname:2026-08-22 | ROE:46.1% | Debt:22.3 | Marge:19.0% | Vol:25.0% | Omzet:344,805,455 | zwakker | weken_buiten:2
AMG              | opname:2026-08-22 | ROE:24.3% | Debt:76.1 | Marge:37.7% | Vol:32.8% | Omzet:98,769,170 | zwakker | weken_buiten:2
AMP              | opname:2026-08-22 | ROE:63.4% | Debt:67.6 | Marge:19.9% | Vol:25.5% | Omzet:298,863,831 | zwakker | weken_buiten:2
AOS              | opname:2026-08-22 | ROE:27.1% | Debt:36.8 | Marge:13.1% | Vol:26.9% | Omzet:93,959,599 | zwakker | weken_buiten:2
APAM             | opname:2026-08-22 | ROE:64.6% | Debt:57.1 | Marge:24.1% | Vol:26.2% | Omzet:24,784,717 | zwakker | weken_buiten:2
ASIC             | opname:2026-08-22 | ROE:18.6% | Debt:26.6 | Marge:20.7% | Vol:48.0% | Omzet:2,170,711 | zwakker | weken_buiten:2
ATEN             | opname:2026-08-22 | ROE:19.4% | Debt:95.0 | Marge:13.9% | Vol:37.1% | Omzet:23,610,087 | zwakker | weken_buiten:2
ATR              | opname:2026-08-22 | ROE:13.5% | Debt:52.8 | Marge:9.2% | Vol:24.6% | Omzet:64,122,747 | zwakker | weken_buiten:2
